('http://movie.mtime.com/44836/', '蓝莓之夜')
('http://movie.mtime.com/224041/', '惊天大逆转')
('http://movie.mtime.com/49801/', '血滴子')
('http://movie.mtime.com/208770/', '白日焰火')
('http://movie.mtime.com/246526/', '羞羞的铁拳')
('http://movie.mtime.com/97245/', '东风雨')
('http://movie.mtime.com/221225/', '解救吾先生')
('http://movie.mtime.com/222533/', '落跑吧爱情')
('http://movie.mtime.com/197089/', '狂怒')
('http://movie.mtime.com/78330/', '即日启程')
('http://movie.mtime.com/220789/', '密战')
('http://movie.mtime.com/49757/', '男儿本色')
('http://movie.mtime.com/44813/', '东京审判')
('http://movie.mtime.com/204763/', '单身男女2')
('http://movie.mtime.com/223143/', '谍影重重5')
('http://movie.mtime.com/215724/', '摆渡人')
('http://movie.mtime.com/194333/', '等风来')
('http://movie.mtime.com/132425/', '我知女人心')
('http://movie.mtime.com/225283/', '我最好朋友的婚礼')
('http://movie.mtime.com/45887/', '白鹿原')
('http://movie.mtime.com/21663/', '七剑')
('http://movie.mtime.com/228965/', '寒战2')
('http://movie.mtime.com/98516/', '倔强萝卜')
('http://movie.mtime.com/105633/', '全城戒备')
('http://movie.mtime.com/205991/', '一生一世')
('http://movie.mtime.com/175561/', '四大名捕2')
('http://movie.mtime.com/244233/', '豆福传')
('http://movie.mtime.com/226447/', '宝贝当家')
('http://movie.mtime.com/156587/', '非常幸运')
('http://movie.mtime.com/46145/', '云水谣')
('http://movie.mtime.com/48192/', '白银帝国')
('http://movie.mtime.com/84310/', '高兴')
('http://movie.mtime.com/126700/', '神奇侠侣')
('http://movie.mtime.com/215983/', '左耳')
('http://movie.mtime.com/190465/', '超验骇客')
('http://movie.mtime.com/215824/', '白雪公主之矮人力量')
('http://movie.mtime.com/40943/', '龙虎门')
('http://movie.mtime.com/39331/', '面纱')
('http://movie.mtime.com/220890/', '北京遇上西雅图之不二情书')
('http://movie.mtime.com/162251/', '大上海')
('http://movie.mtime.com/229813/', '火锅英雄')
('http://movie.mtime.com/113185/', '海洋天堂')
('http://movie.mtime.com/15130/', '2046')
('http://movie.mtime.com/208911/', '罗曼蒂克消亡史')
('http://movie.mtime.com/190544/', '宫锁沉香')
('http://movie.mtime.com/234873/', '唐人街探案2')
('http://movie.mtime.com/224149/', '速度与激情8')
('http://movie.mtime.com/11409/', '末代皇帝')
('http://movie.mtime.com/19280/', '可可西里')
('http://movie.mtime.com/237054/', '乘风破浪')
('http://movie.mtime.com/206216/', '不可思异')
('http://movie.mtime.com/205191/', '杀破狼2')
('http://movie.mtime.com/49650/', '刺客聂隐娘')
('http://movie.mtime.com/118050/', '唐伯虎点秋香2')
('http://movie.mtime.com/164011/', '叶问3')
('http://movie.mtime.com/71012/', '爱有来生')
('http://movie.mtime.com/222326/', '澳门风云3')
('http://movie.mtime.com/147231/', '亲密敌人')
('http://movie.mtime.com/142429/', '东成西就2011')
('http://movie.mtime.com/16755/', '甲方乙方')
('http://movie.mtime.com/135313/', '杀生')
('http://movie.mtime.com/155757/', '二次曝光')
('http://movie.mtime.com/209680/', '封神传奇')
('http://movie.mtime.com/145014/', '妖猫传')
('http://movie.mtime.com/205837/', '赤道')
('http://movie.mtime.com/115552/', '决战刹马镇')
('http://movie.mtime.com/210271/', '我的新野蛮女友')
('http://movie.mtime.com/222673/', '万万没想到')
('http://movie.mtime.com/209716/', '破风')
('http://movie.mtime.com/181317/', '黄金时代')
('http://movie.mtime.com/247008/', '大耳朵图图之美食狂想曲')
('http://movie.mtime.com/200552/', '卧虎藏龙：青冥宝剑')
('http://movie.mtime.com/135577/', '河东狮吼二')
('http://movie.mtime.com/147981/', '王朝的女人·杨贵妃')
('http://movie.mtime.com/209803/', '十万个冷笑话')
('http://movie.mtime.com/211983/', '极盗者')
('http://movie.mtime.com/93690/', '追影')
('http://movie.mtime.com/216918/', '太平轮·彼岸')
('http://movie.mtime.com/10224/', '宝莲灯')
('http://movie.mtime.com/81569/', '西风烈')
('http://movie.mtime.com/139763/', '大武生')
('http://movie.mtime.com/10411/', '大块头有大智慧')
('http://movie.mtime.com/215962/', '大峰祖师')
('http://movie.mtime.com/147939/', '恐龙宝贝')
('http://movie.mtime.com/231018/', '使徒行者')
('http://movie.mtime.com/69440/', '拉贝日记')
('http://movie.mtime.com/45557/', '落叶归根')
('http://movie.mtime.com/11032/', '九品芝麻官之白面包青天')
('http://movie.mtime.com/118112/', '雪花秘扇')
('http://movie.mtime.com/130248/', '痞子英雄之全面开战')
('http://movie.mtime.com/52680/', '双食记')
('http://movie.mtime.com/152811/', '我愿意')
('http://movie.mtime.com/139756/', '孤岛惊魂')
('http://movie.mtime.com/229391/', '高跟鞋先生')
('http://movie.mtime.com/207064/', '中国好声音之为你转身')
('http://movie.mtime.com/45948/', '天堂口')
('http://movie.mtime.com/217130/', '比利·林恩的中场战事')
('http://movie.mtime.com/253688/', '西虹市首富')
('http://movie.mtime.com/229639/', '我不是潘金莲')
('http://movie.mtime.com/132106/', '硬汉2奉陪到底')
('http://movie.mtime.com/225855/', '前任攻略2')
('http://movie.mtime.com/144749/', '忠烈杨家将')
('http://movie.mtime.com/12414/', '一个都不能少')
('http://movie.mtime.com/133646/', '万有引力')
('http://movie.mtime.com/114517/', '无人驾驶')
('http://movie.mtime.com/153097/', '铜雀台')
('http://movie.mtime.com/136193/', '星空')
('http://movie.mtime.com/47842/', '苹果')
('http://movie.mtime.com/209392/', '失孤')
('http://movie.mtime.com/236741/', '驴得水')
('http://movie.mtime.com/119386/', '歌舞青春')
